job_id,job_title,domain,company,location,state,employment_type,seniority,salary_min_lpa,salary_max_lpa,experience_min_years,experience_max_years,job_description,skills,skills_count,source_type,source_note
SKL100018,Product Manager,Product & Business,CoreStack,Bengaluru,Karnataka,Full-time,Senior,9.0,11.5,7,11,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Bengaluru and works with cross-functional teams.","SQL, Market Research, Agile, Product Management, Communication, Analytics",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100019,Data Scientist,AI & Data,AutoNext,Delhi,Delhi,Contract,Senior,6.6,10.1,5,7,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Delhi and works with cross-functional teams.","SQL, Statistics, Machine Learning, Scikit-learn, Pandas, Python",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100020,Machine Learning Engineer,AI & Machine Learning,InsightWorks,Kolkata,West Bengal,Full-time,Mid Level,14.4,17.5,2,3,"Develop, test, deploy, and maintain machine-learning pipelines and production models. The role is based in Kolkata and works with cross-functional teams.","Python, PyTorch, TensorFlow, Java, Linux, Machine Learning, Scikit-learn, Docker",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100021,Product Manager,Product & Business,SmartFab Technologies,Hyderabad,Telangana,Full-time,Mid Level,13.0,18.9,2,3,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Hyderabad and works with cross-functional teams.","Communication, SQL, Agile, Market Research, Analytics, Product Management",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100022,HR Analyst,HR & Operations,NextGen Analytics,Kolkata,West Bengal,Full-time,Junior,4.7,7.9,1,4,"Analyze workforce data, prepare HR reports, and support evidence-based people and talent decisions. The role is based in Kolkata and works with cross-functional teams.","Communication, HR Analytics, Power BI, Excel, Docker, Predictive Maintenance, Data Analysis",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100023,Software Engineer,Software & IT,Apex Digital,Aurangabad,Maharashtra,Full-time,Entry Level,7.7,11.7,0,2,"Design, develop, test, and maintain software services while collaborating with engineering teams. The role is based in Aurangabad and works with cross-functional teams.","EV Analytics, Java, Data Structures, Python, SQL, Git, Circuit Design, REST API",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100024,Data Scientist,AI & Data,SmartFab Technologies,Pune,Maharashtra,Contract,Mid Level,7.6,10.8,2,5,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Pune and works with cross-functional teams.","Machine Learning, Statistics, Pandas, Scikit-learn, SQL, Git, JavaScript, Python",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100025,Software Engineer,Software & IT,FutureGrid,Pune,Maharashtra,Full-time,Mid Level,14.0,16.0,2,3,"Design, develop, test, and maintain software services while collaborating with engineering teams. The role is based in Pune and works with cross-functional teams.","REST API, Java, Git, SQL, Python, Data Structures",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100026,DevOps Engineer,Cloud & DevOps,Nova Mobility,Jaipur,Rajasthan,Contract,Mid Level,6.3,11.0,2,6,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Jaipur and works with cross-functional teams.","CI/CD, React, Linux, Kubernetes, Docker, Git, AWS",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100027,Data Scientist,AI & Data,AutoNext,Jaipur,Rajasthan,Contract,Mid Level,14.2,17.5,2,4,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Jaipur and works with cross-functional teams.","Pandas, Statistics, Machine Learning, Python, Scikit-learn, SQL, RTOS",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100028,Business Analyst,Business & Analytics,NextGen Analytics,Aurangabad,Maharashtra,Contract,Mid Level,9.1,12.1,2,5,"Gather business requirements, analyze operational data, create reports, and support decision-making. The role is based in Aurangabad and works with cross-functional teams.","Communication, Business Analysis, Embedded Systems, Statistics, Excel, Power BI, Testing, SQL",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100029,HR Analyst,HR & Operations,SmartFab Technologies,Gurugram,Haryana,Full-time,Mid Level,5.3,9.2,3,4,"Analyze workforce data, prepare HR reports, and support evidence-based people and talent decisions. The role is based in Gurugram and works with cross-functional teams.","HR Analytics, Data Analysis, Power BI, Excel, Communication, Agile",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100030,Mechanical Design Engineer,Engineering & Manufacturing,SmartFab Technologies,Mumbai,Maharashtra,Full-time,Senior,7.8,9.4,4,7,"Create and validate mechanical designs, prepare CAD models and drawings, and support manufacturing. The role is based in Mumbai and works with cross-functional teams.","AutoCAD, Manufacturing, SolidWorks, JavaScript, CAD, Mechanical Design, GD&T",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100031,Cloud Engineer,Cloud & DevOps,InnoSoft,Bengaluru,Karnataka,Contract,Senior,12.8,15.3,6,8,"Design and maintain cloud infrastructure, automate deployments, and improve reliability and scalability. The role is based in Bengaluru and works with cross-functional teams.","AWS, 3D Mathematics, CI/CD, SQL, Docker, Azure, Linux, Kubernetes",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100032,Cloud Engineer,Cloud & DevOps,AutoNext,Chennai,Tamil Nadu,Full-time,Senior,13.2,15.7,6,8,"Design and maintain cloud infrastructure, automate deployments, and improve reliability and scalability. The role is based in Chennai and works with cross-functional teams.","Docker, Kubernetes, PCB Design, Node.js, Linux, Azure, AWS, CI/CD",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100033,Data Scientist,AI & Data,AutoNext,Nagpur,Maharashtra,Full-time,Senior,10.6,16.0,5,6,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Nagpur and works with cross-functional teams.","Scikit-learn, Python, Machine Learning, Pandas, SQL, PCB Design, Statistics, CSS",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100034,Mechanical Design Engineer,Engineering & Manufacturing,Nova Mobility,Nagpur,Maharashtra,Contract,Senior,3.8,6.1,5,9,"Create and validate mechanical designs, prepare CAD models and drawings, and support manufacturing. The role is based in Nagpur and works with cross-functional teams.","AutoCAD, Manufacturing, GD&T, Mechanical Design, SolidWorks, CAD",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100035,Electronics Engineer,Electronics & Embedded,BluePeak Consulting,Jaipur,Rajasthan,Full-time,Mid Level,9.3,14.1,3,7,"Design, test, and troubleshoot electronic systems, PCBs, and embedded hardware. The role is based in Jaipur and works with cross-functional teams.","Testing, Circuit Design, C, MATLAB, Industrial AI, Embedded Systems, PCB Design",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100036,Automation Engineer,Engineering & Automation,FutureGrid,Mumbai,Maharashtra,Full-time,Junior,6.7,12.2,1,4,"Design and maintain industrial automation systems, PLC programs, sensors, and control workflows. The role is based in Mumbai and works with cross-functional teams.","Industrial Automation, PLC, IoT, Python, Sensors, SCADA",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100037,AI Engineer,AI & Machine Learning,Prime Automation,Bengaluru,Karnataka,Full-time,Mid Level,12.4,14.4,3,7,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Bengaluru and works with cross-functional teams.","Deep Learning, SQL, Machine Learning, PyTorch, Python, TensorFlow, GD&T",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100038,Product Manager,Product & Business,InnoSoft,Ahmedabad,Gujarat,Full-time,Senior,13.3,15.7,5,7,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Ahmedabad and works with cross-functional teams.","Communication, Product Management, Analytics, Market Research, AWS, Agile, SQL",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100039,Game Developer,Gaming & Interactive,InsightWorks,Delhi,Delhi,Full-time,Senior,4.8,7.9,5,6,"Develop gameplay systems, implement mechanics, optimize performance, and collaborate with design teams. The role is based in Delhi and works with cross-functional teams.","Git, Unity, Communication, 3D Mathematics, Game Development, C#, C++",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100040,Business Analyst,Business & Analytics,InnoSoft,Ahmedabad,Gujarat,Full-time,Mid Level,6.0,7.4,2,6,"Gather business requirements, analyze operational data, create reports, and support decision-making. The role is based in Ahmedabad and works with cross-functional teams.","Power BI, Business Analysis, Excel, SQL, Communication, Statistics",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100041,Data Scientist,AI & Data,TechNova Solutions,Ahmedabad,Gujarat,Contract,Mid Level,14.4,18.5,2,4,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Ahmedabad and works with cross-functional teams.","Scikit-learn, Pandas, Machine Learning, Python, Statistics, SQL",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100042,Cybersecurity Analyst,Cybersecurity,Quantix Labs,Ahmedabad,Gujarat,Full-time,Junior,11.0,12.8,1,2,"Monitor security events, investigate incidents, assess risks, and support security controls. The role is based in Ahmedabad and works with cross-functional teams.","Business Analysis, Incident Response, Linux, SIEM, Networking, Cybersecurity, Python",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100043,Embedded Systems Engineer,Electronics & Embedded,CloudSphere,Gurugram,Haryana,Full-time,Entry Level,11.7,15.7,0,3,Develop firmware and embedded applications for microcontrollers and connected devices. The role is based in Gurugram and works with cross-functional teams.,"Git, C++, Microcontrollers, Embedded Systems, C, RTOS",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100044,AI Engineer,AI & Machine Learning,SmartFab Technologies,Chennai,Tamil Nadu,Contract,Junior,17.7,19.2,1,5,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Chennai and works with cross-functional teams.","Deep Learning, TensorFlow, Python, SQL, Machine Learning, PyTorch, Mechanical Design",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100045,Automation Engineer,Engineering & Automation,InsightWorks,Bengaluru,Karnataka,Full-time,Mid Level,10.8,16.0,2,5,"Design and maintain industrial automation systems, PLC programs, sensors, and control workflows. The role is based in Bengaluru and works with cross-functional teams.","PLC, Sensors, Python, SCADA, IoT, Industrial Automation",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100046,Data Analyst,Data & Analytics,SmartFab Technologies,Hyderabad,Telangana,Full-time,Junior,4.6,9.5,1,5,"Analyze business data, build dashboards, identify trends, and communicate actionable insights to stakeholders. The role is based in Hyderabad and works with cross-functional teams.","SQL, Excel, Data Analysis, Python, Power BI, Data Visualization, Statistics",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100047,DevOps Engineer,Cloud & DevOps,Prime Automation,Gurugram,Haryana,Full-time,Senior,14.3,18.5,4,6,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Gurugram and works with cross-functional teams.","AWS, Docker, CI/CD, Kubernetes, Git, Linux, Industrial Automation",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100048,Product Manager,Product & Business,InsightWorks,Noida,Uttar Pradesh,Full-time,Senior,14.2,16.9,4,8,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Noida and works with cross-functional teams.","MATLAB, Product Management, Market Research, Analytics, Agile, SQL, Excel, Communication",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100049,Cloud Engineer,Cloud & DevOps,Apex Digital,Thane,Maharashtra,Full-time,Senior,8.1,12.8,6,8,"Design and maintain cloud infrastructure, automate deployments, and improve reliability and scalability. The role is based in Thane and works with cross-functional teams.","Azure, Docker, AWS, Linux, CI/CD, PyTorch, Kubernetes",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100050,DevOps Engineer,Cloud & DevOps,Nova Mobility,Thane,Maharashtra,Contract,Mid Level,14.5,16.1,3,4,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Thane and works with cross-functional teams.","Docker, Git, AWS, Kubernetes, CI/CD, Linux",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100051,Machine Learning Engineer,AI & Machine Learning,TechNova Solutions,Jaipur,Rajasthan,Contract,Senior,12.6,15.8,5,8,"Develop, test, deploy, and maintain machine-learning pipelines and production models. The role is based in Jaipur and works with cross-functional teams.","Machine Learning, PyTorch, Docker, TensorFlow, Scikit-learn, Python",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100052,Industrial AI Engineer,Engineering & AI,InsightWorks,Mumbai,Maharashtra,Contract,Senior,7.7,12.7,6,7,"Apply AI and computer vision to industrial processes, sensor data, and intelligent automation systems. The role is based in Mumbai and works with cross-functional teams.","Azure, SQL, IoT, Computer Vision, Industrial AI, Python, Machine Learning",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100053,Automation Engineer,Engineering & Automation,VisionEdge,Kolkata,West Bengal,Full-time,Mid Level,6.4,10.5,2,6,"Design and maintain industrial automation systems, PLC programs, sensors, and control workflows. The role is based in Kolkata and works with cross-functional teams.","Python, PLC, IoT, Industrial Automation, Sensors, Predictive Maintenance, Unity, SCADA",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100054,DevOps Engineer,Cloud & DevOps,CoreStack,Nashik,Maharashtra,Full-time,Junior,6.0,9.3,1,3,"Automate software delivery, maintain CI/CD pipelines, monitor systems, and improve deployment reliability. The role is based in Nashik and works with cross-functional teams.","Java, CI/CD, Deep Learning, AWS, Git, Kubernetes, Docker, Linux",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100055,Embedded Systems Engineer,Electronics & Embedded,Vertex Systems,Noida,Uttar Pradesh,Contract,Mid Level,8.9,13.1,3,4,Develop firmware and embedded applications for microcontrollers and connected devices. The role is based in Noida and works with cross-functional teams.,"RTOS, Embedded Systems, Microcontrollers, SIEM, Git, C, C++",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100056,Machine Learning Engineer,AI & Machine Learning,FutureGrid,Hyderabad,Telangana,Full-time,Senior,18.3,21.8,6,10,"Develop, test, deploy, and maintain machine-learning pipelines and production models. The role is based in Hyderabad and works with cross-functional teams.","Docker, Machine Learning, Scikit-learn, TensorFlow, HTML, PyTorch, Python",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100057,Data Analyst,Data & Analytics,CloudSphere,Mumbai,Maharashtra,Contract,Senior,8.5,12.9,4,5,"Analyze business data, build dashboards, identify trends, and communicate actionable insights to stakeholders. The role is based in Mumbai and works with cross-functional teams.","Power BI, MATLAB, Data Visualization, Statistics, Excel, SQL, Python",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100058,Industrial AI Engineer,Engineering & AI,AutoNext,Mumbai,Maharashtra,Full-time,Mid Level,9.7,14.0,3,7,"Apply AI and computer vision to industrial processes, sensor data, and intelligent automation systems. The role is based in Mumbai and works with cross-functional teams.","Python, SQL, Machine Learning, Industrial AI, Computer Vision, IoT",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100059,Automation Engineer,Engineering & Automation,SmartFab Technologies,Mumbai,Maharashtra,Contract,Mid Level,4.9,9.8,2,5,"Design and maintain industrial automation systems, PLC programs, sensors, and control workflows. The role is based in Mumbai and works with cross-functional teams.","Sensors, Python, React, Industrial Automation, SCADA, PLC, IoT, 3D Mathematics",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100060,Data Scientist,AI & Data,DataBridge,Nagpur,Maharashtra,Contract,Senior,15.3,18.5,5,7,"Build statistical and machine-learning models, prepare datasets, evaluate model performance, and communicate findings. The role is based in Nagpur and works with cross-functional teams.","Machine Learning, C, Statistics, Industrial AI, SQL, Pandas, Scikit-learn, Python",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100061,AI Engineer,AI & Machine Learning,Apex Digital,Nagpur,Maharashtra,Contract,Senior,15.4,17.2,4,5,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Nagpur and works with cross-functional teams.","Deep Learning, Python, IoT, Machine Learning, SQL, Data Structures, PyTorch, TensorFlow",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100062,Cloud Engineer,Cloud & DevOps,SkillTech,Kolkata,West Bengal,Contract,Senior,15.5,17.9,5,7,"Design and maintain cloud infrastructure, automate deployments, and improve reliability and scalability. The role is based in Kolkata and works with cross-functional teams.","Docker, CI/CD, Azure, AWS, Linux, Kubernetes, GD&T",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100063,Software Engineer,Software & IT,CoreStack,Hyderabad,Telangana,Full-time,Mid Level,8.3,13.1,3,6,"Design, develop, test, and maintain software services while collaborating with engineering teams. The role is based in Hyderabad and works with cross-functional teams.","Industrial AI, REST API, Python, Git, Data Structures, Java, SQL",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100064,Business Analyst,Business & Analytics,AutoNext,Gurugram,Haryana,Full-time,Senior,7.1,11.4,5,9,"Gather business requirements, analyze operational data, create reports, and support decision-making. The role is based in Gurugram and works with cross-functional teams.","Business Analysis, CAD, Java, Power BI, Statistics, Communication, Excel, SQL",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100065,Predictive Maintenance Engineer,Engineering & Manufacturing,VisionEdge,Kolkata,West Bengal,Full-time,Entry Level,8.4,12.7,0,2,Use machine and sensor data to identify failure patterns and improve maintenance planning. The role is based in Kolkata and works with cross-functional teams.,"PLC, Predictive Maintenance, IoT, Machine Learning, Sensor Analytics, Python",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100066,Business Analyst,Business & Analytics,CoreStack,Jaipur,Rajasthan,Full-time,Mid Level,9.0,14.5,3,6,"Gather business requirements, analyze operational data, create reports, and support decision-making. The role is based in Jaipur and works with cross-functional teams.","Power BI, Excel, Business Analysis, Statistics, Scikit-learn, SQL, Communication",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100067,AI Engineer,AI & Machine Learning,Apex Digital,Bengaluru,Karnataka,Full-time,Senior,12.8,17.2,6,7,"Develop and deploy AI solutions, integrate machine-learning models into applications, and improve production performance. The role is based in Bengaluru and works with cross-functional teams.","PyTorch, TensorFlow, Machine Learning, SQL, Deep Learning, Python",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100068,Mechanical Design Engineer,Engineering & Manufacturing,CloudSphere,Nashik,Maharashtra,Contract,Senior,7.2,12.1,4,8,"Create and validate mechanical designs, prepare CAD models and drawings, and support manufacturing. The role is based in Nashik and works with cross-functional teams.","Mechanical Design, Manufacturing, GD&T, CAD, AutoCAD, SolidWorks",6,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100069,Embedded Systems Engineer,Electronics & Embedded,CloudSphere,Nashik,Maharashtra,Full-time,Mid Level,8.1,12.5,3,6,Develop firmware and embedded applications for microcontrollers and connected devices. The role is based in Nashik and works with cross-functional teams.,"SolidWorks, Microcontrollers, C, C++, RTOS, Git, Embedded Systems",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100070,Embedded Systems Engineer,Electronics & Embedded,Prime Automation,Aurangabad,Maharashtra,Full-time,Senior,8.1,10.6,5,8,Develop firmware and embedded applications for microcontrollers and connected devices. The role is based in Aurangabad and works with cross-functional teams.,"Git, RTOS, Embedded Systems, Scikit-learn, C++, C, Microcontrollers",7,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100071,Product Manager,Product & Business,InnoSoft,Pune,Maharashtra,Full-time,Senior,14.4,18.8,4,5,"Define product priorities, analyze user and market needs, coordinate teams, and measure product outcomes. The role is based in Pune and works with cross-functional teams.","Analytics, SQL, Product Management, Communication, Market Research, Agile, Azure, Statistics",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
SKL100072,Software Engineer,Software & IT,Apex Digital,Noida,Uttar Pradesh,Full-time,Senior,8.1,11.3,5,6,"Design, develop, test, and maintain software services while collaborating with engineering teams. The role is based in Noida and works with cross-functional teams.","Java, REST API, Excel, Git, Data Structures, Power BI, Python, SQL",8,Synthetic demo data,Generated for SKILLYNTRA prototype; not live job-posting data.
